DataType,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05
Project,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba
SampleEvent,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022
StreamName,Oregon Creek,Rock Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Bear River,Bear River,Bear River,Bear River
SiteName,Oregon Cr. Reference,Rock Creek - Nature Trail,DC 1,DC 2,DC 6,DC 8,DC 16,BR 1,BR 2,BR 3,BR 12
SampleDate,7/20/2022,6/27/2022,6/29/2022,6/16/2022,6/30/2022,7/5/2022,7/6/2022,6/21/2022,7/27/2022,7/25/2022,8/3/2022
Reach Length,96,96,105,96,96,96,96,96,96,96,96
Elevation,,,,,,,,,,,
GPSLat,39.4459993,39.300995,39.2957,39.2679016,39.239,39.2302,39.22895,39.3088907,39.1756,39.1800816,39.11362
GPSLong,-121.0465593,-120.928669,-120.8865,-121.0019639,-121.1872,-121.2442,-121.24228,-120.667372,-120.893455,-120.8957487,-121.2735
% Fine,0,0,0,0,0,0,0,0,0,0,0
% Sand,0,0,0,0,0,0,0,0,0,0,0
% Gravel,24,40,20,4,12,16,24,12,8,32,36
% Pebble,24,28,8,28,16,20,12,28,44,28,12
% Cobble,32,32,36,68,48,36,36,60,36,36,12
% Boulder,20,0,32,0,24,16,20,0,0,0,12
% Sand-Fines,0,0,0,0,0,0,0,0,0,0,0
%Sand-Fine-Gravel,24,40,20,4,12,16,24,12,8,32,36
%Sand-Fine-Gravel to 32mm,,,,,,,,,,,
%Sand-Fine-Gravel to 8mm,0,32,0,0,0,16,4,0,20,24,4
% Gravel to 32mm,,,,,,,,,,,
% Gravel to 8mm,0,32,0,0,0,16,4,0,20,24,4
D50,55,45,90,90,85,74,67.5,70,60,50,20
Temp,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
PH,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Conductivity,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
DO,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Alkalinity,,,,,,,,,,,
Turbidity,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
N,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
TKN,,,,,,,,,,,
P,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
SO4,,,,,,,,,,,
Hardness,,,,,,,,,,,
SiO2,,,,,,,,,,,
%Algae,0,0,0,15,8,9,1,13,6,22,1
%Veg,0,0,0,0,0,0,0,0,0,0,0
%Wood,0,3,0,0,2,0,0,2,0,0,0
%Detritus,0,0,0,0,0,0,0,0,0,0,0
%Leaf,0,4,0,1,0,0,0,0,0,0,0
%Root,0,0,0,0,0,0,0,0,0,0,0
%Moss,0,0,0,0,0,0,0,0,0,0,0
LWD large wood debris,60.0,0.0,40.0,20.0,40.0,40.0,0.0,40.0,0.0,0.0,0.0
Human distubance,,,,,,,,,,,
%Stable,140,120,160,140,160,160,140,160,160,160,100
%Vulnerable,20,20,0,20,0,0,20,0,0,0,40
%Eroding,0,20,0,0,0,0,0,0,0,0,0
%Vg,0,0,0,4,0,0,6,0,0,0,14
%Vb,0,2,0,0,2,0,0,0,0,0,0
%Vt,2,4,2,12,2,4,6,10,6,2,6
%A,18,12,18,4,14,12,8,6,14,12,0
%O,0,2,0,0,0,0,0,2,0,6,0
%Shallow,6,4,8,8,2,16,8,8,14,8,2
%Moderate,14,4,8,2,18,4,8,6,6,12,10
%Undercut,0,12,4,10,0,0,0,6,0,0,8
%RipCover,12.05882353,19.58823529,16.41176471,10.94117647,11.70588235,13.88235294,13.94117647,16.88235294,3.117647059,4.529411765,11.41176471
AvgEmbed,1320,1160,940,640,0,1100,2220,1200,460,1840,2020
AvgOfBankfullWidth,832,191,1071,1418,537,418,514,643,3038,546,656
StDevOfBankfullWidth,349.6,99.4,123.6,279.9,247.2,141.0,212.9,132.6,3384.6,119.7,314.5
AvgOfStream Width,,,,,,,,,,,
StDevOfStream Width,,,,,,,,,,,
Slope,,,,,,,,,,,
Pool%,35.41666667,19.79166667,21.875,20.83333333,37.5,25,67.70833333,13.54166667,0,19.79166667,65.625
Riffle%,44.79166667,67.70833333,78.125,54.16666667,30.20833333,68.75,27.08333333,75,60.41666667,130.2083333,34.375
Transition%,19.79166667,12.5,0,25,32.29166667,6.25,5.208333333,11.45833333,39.58333333,-50,0
MeanChangeBearing,20.5,86.3,13.3,4.3,2.5,8.5,16.5,20.0,11.0,80.5,5.5
Sinuosity,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.1,1.0
AvgDepth,29.12,11.88,47.08,32.28,26.6,16.84,40.76,21.8,18.08,12.08,35
AvgVelocity,0.052,0.024,0.372,0.208,0.136,0.1,0,0.324,0.416,0.316,0.152
Zero Velocity Freq,0.6,0.84,0.12,0.16,0.4,0.32,1,0.04,0.12,0.2,0.48
MaxOfDepths,80,23,84,55,58,40,104,65,38,22,82
AvgQ(cm3/s),751.7166667,19.13333333,17075.36667,8283.566667,890.7666667,427.6666667,0,3228.75,25639.03333,1715.933333,1153.2
AvgQ(m3/s),0.0008,0.0000,0.0171,0.0083,0.0009,0.0004,0.0000,0.0032,0.0256,0.0017,0.0012
AvgQ(cfs),0.02654662602,0.0006756873527,0.603010939,0.2925314233,0.03145713088,0.0151029072,0,0.1140222408,0.9054340013,0.06059761941,0.04072487744
StDevQ(cm3/s),,,,,,,,,,,
StDevQ(m3/s),0.0007,0.0000,0.0119,0.0059,0.0008,0.0003,0.0000,0.0017,0.0394,0.0012,0.0013
StDevQ(cfs),,,,,,,,,,,
Chl a density,,,,,,,,,,,
CPOM,,,,,,,,,,,
FPOM,,,,,,,,,,,
% Herbaceous,100,100,100,100,100,100,100,100,100,100,100
%Shrub,100,100,100,100,100,100,100,100,100,100,100
%Tree,100,100,100,100,100,100,100,100,100,100,100
%Evergreen,100,100,100,100,100,100,100,100,100,100,80
