DataType,Long05,Long05,Long05,Long05,Long05,Long05,Long05,Long05,Long05,Long05,Long05
Project,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba
SampleEvent,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022
StreamName,Oregon Creek,Rock Creek,Deer Creek,Deer Creek,Deer Creek,DEER CREEK,Squirrel Creek,Bear River,Bear River,Bear River,Bear River
SiteName,Oregon Cr. Reference,Rock Creek - Nature Trail,DC 1,DC 2,DC 6,DC8,DC 16,BR 1,BR 2,BR 3,BR 12
SampleDate,6/5/2024,6/11/2024,7/2/2024,6/18/2024,6/13/2024,6/20/2024,6/26/2024,6/9/2024,6/27/2024,6/17/2024,6/25/2024
Reach Length,100,102,100,100,100,100,100,100,100,100,100
Elevation,,,,,,,,,,,
GPSLat,39.44568,39.300995,39.2957,39.268013,39.239,39.2294426,39.22895,39.3088776,39.1756,39.180078,39.11362
GPSLong,-121.04653,-120.928669,-120.8865,-121.001377,-121.1872,-121.2452174,-121.24228,-120.6674978,-120.893455,-120.895742,-121.27325
% Fine,0,0,0,0,0,4,0,0,0,0,0
% Sand,0,0,0,0,0,0,0,0,0,0,0
% Gravel,24,28,8,20,36,8,32,44,28,20,32
% Pebble,8,24,12,16,16,40,8,28,52,40,4
% Cobble,24,16,24,56,24,32,24,24,16,32,44
% Boulder,44,0,24,0,8,12,0,0,0,4,0
% Sand-Fines,0,0,0,0,0,4,0,0,0,0,0
%Sand-Fine-Gravel,24,28,8,20,36,12,32,44,28,20,32
%Sand-Fine-Gravel to 32mm,,,,,,,,,,,
%Sand-Fine-Gravel to 8mm,4,36,4,12,4,8,4,8,8,0,0
% Gravel to 32mm,,,,,,,,,,,
% Gravel to 8mm,4,36,4,12,4,4,4,8,8,0,0
D50,54.5,40,77,83,42,57.5,32,37,50,55,71
Temp,16.4,10.7,13.7,10.7,22.3,20.1,21.4,12.8,18.8,18.3,22.6
PH,7.62,6.81,7.36,7.2,7.8,7.77,7.79,7.95,7.5,7.33,7.93
Conductivity,62.2,23.6,50,39.4,133.6,215.5,143.2,132.9,74.1,86,205.6
DO,9.89,9.92,9.59,10.57,7.83,9.5,7.51,10.24,8.43,8.78,8.21
Alkalinity,,,,,,,,,,,
Turbidity,0.62,#DIV/0!,0.39,0.86,1.17,#DIV/0!,#DIV/0!,#DIV/0!,0.4,0.36,1.43
N,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
TKN,,,,,,,,,,,
P,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
SO4,,,,,,,,,,,
Hardness,,,,,,,,,,,
SiO2,,,,,,,,,,,
%Algae,0,0,11,18,3,22,3,13,19,9,12
%Veg,0,0,0,0,0,1,0,0,0,0,0
%Wood,0,0,0,0,0,0,0,0,0,0,0
%Detritus,0,0,1,0,0,0,8,1,0,0,5
