project,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba,Yuba
data_type,Long20,Long20,Long20,Long20,Long20,Long20,Long20,Long20,Long20,Long20,Long20,Long20,Long20,Long20,Long20,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05,Subset05
sample_event,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022,Summer 2022
stream_name,Oregon Creek,Rock Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Little Deer Creek,Squirrel Creek,Deer Creek,Bear River,Bear River,Steephollow Creek,Dry Creek,Oregon Creek,Rock Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Deer Creek,Little Deer Creek,Squirrel Creek,Deer Creek,Bear River,Bear River,Steephollow Creek,Dry Creek
site_name,OC,RC,DC 1,DC 2,DC 4,DC 6,DC 8,DC 10,DC 11,DC 15,DC 16,BR 1,BR 2,BR 3,BR 12,OC,RC,DC 1,DC 2,DC 4,DC 6,DC 8,DC 10,DC 11,DC 15,DC 16,BR 1,BR 2,BR 3,BR 12
sample_date,7/20/2022,6/27/2022,6/24/2022,6/16/2022,7/19/2022,6/30/2022,7/5/2022,6/23/2022,5/31/2022,6/15/2022,7/6/2022,6/21/2022,7/27/2022,7/25/2022,8/3/2022,7/20/2022,6/27/2022,6/29/2022,6/16/2022,7/19/2022,6/30/2022,7/5/2022,6/23/2022,5/31/2022,6/15/2022,7/6/2022,6/21/2022,7/27/2022,7/25/2022,8/3/2022
reach_length,150,150,150,150,150,150,150,150,150,140,150,150,150,150,150,96,96,105,96,96,96,96,96,96,98,96,96,96,96,96
GPS_lat,39.44568,39.300995,39.2957,39.2679016,39.2603646,39.239,39.2302,39.22381,39.2615,39.201,39.22895,39.308907,39.1756,39.180073,39.11362,39.4459993,39.300995,39.2957,39.2679016,39.2603646,39.239,39.2302,39.22381,39.2615,39.201,39.22895,39.3088907,39.1756,39.1800816,39.11362
GPS_long,-121.04653,-120.928669,-120.8865,-121.0019639,-121.0320418,-121.1872,-121.2442,-121.269861,-121.0137,-121.1772,-121.24228,-120.667372,-120.893455,-120.895742,-121.27325,-121.0465593,-120.928669,-120.8865,-121.0019639,-121.0320418,-121.1872,-121.2442,-121.269861,-121.0137,-121.1772,-121.24228,-120.667372,-120.893455,-120.8957487,-121.2735
pct_fine,0,3,0,8,1,1,0,0,17,0,1,3,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
pct_sand,6,12,0,5,7,9,5,0,11,3,9,0,5,7,12,0,0,0,0,16,0,8,0,24,4,8,0,8,0,20
pct_gravel,19,35,10,7,15,14,13,23,28,30,26,13,17,27,20,24,40,20,4,8,12,16,24,12,32,24,12,8,32,36
pct_pebble,15,25,13,18,11,13,13,9,22,42,21,22,29,31,12,24,28,8,28,4,16,20,8,12,48,8,28,44,28,12
pct_cobble,19,23,30,61,26,37,40,21,16,23,22,61,46,32,34,32,32,36,68,20,48,36,12,24,16,36,60,36,36,12
pct_boulder,41,0,46,0,39,26,29,47,5,0,20,0,2,1,13,20,0,36,0,52,24,20,56,20,0,24,0,0,0,12
pct_sand_fines,6,15,0,13,8,10,5,0,28,3,10,3,5,7,18,0,0,0,0,16,0,8,0,28,4,8,0,8,0,24
pct_sand_fine_gravel,25,50,10,20,23,24,18,23,56,33,36,16,22,34,38,24,40,20,4,24,12,24,24,40,36,32,12,16,32,60
pct_sand_fine_gravel_to_8mm,11,44,0,14,8,11,5,1,30,15,11,4,20,21,22,0,32,0,0,16,0,24,8,56,16,12,0,28,24,28
pct_gravel_to_8mm,5,29,0,1,0,1,0,1,2,12,1,1,15,14,4,0,32,0,0,0,0,16,8,28,12,4,0,20,24,4
D50,95,30,200,75,137.5,107,120,225,29,45,49.5,70,60,45,59,65,45,110,90,256,100,75,256,50,45,90,70,55,50,15
pct_stable,100,88,100,93,100,100,100,100,82.5,87.5,95,87.5,100,100,75,90,80,100,90,100,100,100,100,90,100,90,90,100,100,70
pct_vulnerable,0,5,0,8,0,0,0,0,7.5,10,5,5,0,0,17.5,10,10,0,10,0,0,0,0,0,0,10,0,0,0,30
pct_eroding,0,5,0,0,0,0,0,0,7.5,2.5,0,2.5,0,0,5,0,10,0,0,0,0,0,0,10,0,0,10,0,0,0
pct_Vg,0,5,3,35,3,10,30,32.5,32.5,32.5,27.5,12.5,0,0,45,0,0,0,4,0,0,0,4,6,6,6,0,0,0,14
pct_Vb,0,5,0,3,0,5,2.5,2.5,2.5,32.5,0,10,0,2.5,0,0,2,0,0,0,2,0,2,0,6,0,0,0,0,0
pct_Vt,2.5,35,8,45,3,10,20,12.5,20,15,17.5,35,40,32.5,32.5,2,4,2,12,0,2,4,4,2,2,6,10,6,2,6
pct_A,97.5,50,88,15,95,75,47.5,52.5,37.5,15,52.5,42.5,60,47.5,22.5,18,12,18,4,20,14,12,10,8,6,8,6,14,12,0
